lambda_red,V_red,lambda_yellow,V_yellow,lambda_green,V_green,lambda_blue,V_blue,lambda_white,V_white,lambda_infr,V_infr
500,0.54,500,0.68,400,1,400,22.3,400,27.6,680,1.08
510,0.54,510,0.83,410,1.2,410,38.9,410,42.8,690,1.09
520,0.55,520,1.24,420,1.65,420,64.8,420,62.3,700,1.1
530,0.57,530,2,430,2.53,430,99.8,430,82.7,710,1.22
540,0.62,540,3.4,440,4.27,440,136.3,440,98.6,720,1.45
550,0.73,550,5.39,450,7.18,450,171.7,450,111,730,2.02
560,0.98,560,8.58,460,11.67,460,198.8,460,118.3,740,3.04
570,1.46,570,11.3,470,17.78,470,212,470,121.8,750,5.07
580,2.58,580,12.91,480,25.2,480,211,480,122.2,760,8.92
590,4.86,590,14.27,490,33.2,490,194,490,122.6,770,15.1
600,9.07,600,14.33,500,40.7,500,166,500,125.8,780,25.2
610,15.06,610,13.19,510,46.9,510,131,510,134.1,790,39.7
620,22.3,620,10.51,520,50.3,520,94,520,148.7,800,58.6
630,30,630,7.19,530,50.1,530,63,530,164.4,810,77.7
640,36.3,640,4.71,540,47,540,37,540,180.3,820,96.4
650,39.9,650,3.13,550,41.2,550,21.3,550,192.6,830,107.6
660,40,660,1.93,560,33.3,560,11.3,560,199.2,840,109.5
670,36.6,670,1.35,570,25.4,570,6.48,570,199.4,850,101.8
680,30.4,680,1.07,580,18.1,580,4.18,580,194.2,,
690,22.9,690,0.86,590,12.14,590,3.02,590,183.7,,
700,15.43,700,0.69,600,7.72,600,2.38,600,169.2,,
710,9.32,710,0.56,610,5.03,610,2.02,610,153.2,,
720,5.04,720,0.51,620,3.22,620,1.76,620,135.3,,
730,2.57,,,630,2.23,630,1.62,630,117.5,,
740,1.31,,,640,1.68,640,1.54,640,100,,
750,0.9,,,650,1.35,650,1.46,650,83.3,,
760,0.82,,,660,1.16,660,1.39,660,68.3,,
,,,,670,1,,,670,55.4,,
,,,,680,0.92,,,680,44.2,,
,,,,690,0.78,,,690,34.7,,
,,,,700,0.65,,,700,23.2,,
,,,,710,0.55,,,710,21.3,,
,,,,720,0.5,,,720,16.54,,
,,,,,,,,730,12.9,,
,,,,,,,,740,9.86,,
,,,,,,,,750,7.82,,
,,,,,,,,760,6.14,,
,,,,,,,,770,4.88,,
,,,,,,,,780,3.93,,
,,,,,,,,790,3.21,,
,,,,,,,,800,2.61,,
