I,V_0,V_05,V_10,V_15,V_20,V_30,V_50
1,71.3,72,69.7,71.3,71.3,70.6,69.7
2,173,176,172.8,173.3,177.4,174,172.3
3,269,295,289,293,296,293,290
4,317,424,415,421,424,417,416
5,341,555,545,553,557,549,547
6,356,688,677,688,693,683,682
7,367,781,812,825,825,818,817
8,376,818,947,961,966,953,954
9,384,839,1083,1099,1100,1091,1090
10,390,852,1211,1236,1238,1226,1228
11,395,862,1283,1369,1377,1361,1362
12,400,870,1315,1504,1510,1496,1495
13,404,877,1333,1635,1641,1628,1629
14,408,883,1345,1746,1774,1758,1761
15,411,888,1355,1799,1903,1883,1888
16,414,892,1362,1825,2020,2000,2010
17,416,895,1369,1842,2140,2120,2130
18,419,899,1374,1851,2240,2250,2250
19,421,902,1379,1861,2290,2370,2370
20,424,905,1383,1868,2310,2490,2490
